更新时间,#genre#
20260627-08-16-05,url


blacklist,#genre#
24小时城市联赛轮播台,http://hlszymgsplive.miguvideo.com:8080/migu/lunbo/ouzhoubei/54/20240603/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=5910022136&pid=2028597139&timestamp=20260627040230&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=915512915&ParentNodeID=-99&assertID=5910022136&client_ip=171.8.79.254&SecurityKey=20260627040230&promotionId=&mvid=5900006618&mcid=500020&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=03ff85a3d16ae2bc89170c03a2091c5c&sv=10004&ct=android
BIG3 DMV三部曲VS芝加哥三雄 英文原声 04:55,http://flvyxpull2mgsplive.miguvideo.com:80/mglive/mgss066_54.flv?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=7510502269&pid=2028597139&timestamp=20260627080326&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=965656139&ParentNodeID=-99&assertID=7510502269&client_ip=171.8.79.254&SecurityKey=20260627080326&promotionId=&mvid=7510250800&mcid=500020&mpid=120000581180&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ce0fec9e31a734982ca1686cafb2fc63&sv=10004&ct=android
BIG3 DMV三部曲VS芝加哥三雄 邵化谦 04:55,http://flvyxpull2mgsplive.miguvideo.com:80/mglive/pcstation37_54.flv?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=7510502241&pid=2028597139&timestamp=20260627080325&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=965653954&ParentNodeID=-99&assertID=7510502241&client_ip=171.8.79.254&SecurityKey=20260627080325&promotionId=&mvid=7510250786&mcid=500020&mpid=120000581180&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f095065e7427c666955fd5824187fbb7&sv=10004&ct=android
BIG3 休斯顿铁钻VS波士顿球霸 季孟年 06:55,http://flvyxpull2mgsplive.miguvideo.com:80/mglive/pcstation39_54.flv?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=7510502245&pid=2028597139&timestamp=20260627080326&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=965653966&ParentNodeID=-99&assertID=7510502245&client_ip=171.8.79.254&SecurityKey=20260627080326&promotionId=&mvid=7510250788&mcid=500020&mpid=120000581182&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c5a882abb781ac1d21d3740a3c563419&sv=10004&ct=android
BIG3 休斯顿铁钻VS波士顿球霸 英文原声 06:55,http://flvyxpull2mgsplive.miguvideo.com:80/mglive/mgss068_54.flv?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=7510502273&pid=2028597139&timestamp=20260627080326&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=965656158&ParentNodeID=-99&assertID=7510502273&client_ip=171.8.79.254&SecurityKey=20260627080326&promotionId=&mvid=7510250802&mcid=500020&mpid=120000581182&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8005fa870eb266bff9ce856c41a4fe95&sv=10004&ct=android
BIG3 洛杉矶狂潮VS达拉斯动力 英文原声 03:55,http://flvalipull2mgsplive.miguvideo.com:80/mglive/mgss065_54.flv?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=800033&netType=0&sid=7510502267&pid=2028597139&timestamp=20260627080324&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=965656126&ParentNodeID=-99&assertID=7510502267&client_ip=171.8.79.254&SecurityKey=20260627080324&promotionId=&mvid=7510250799&mcid=500020&mpid=120000581179&playurlVersion=WX-A1-9.6.1.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=22fbe1dbe2f574db170c9bc901b072aa&sv=10004&ct=android
